seed	exit	reason	dup_begin_turn	idle_recovery	timeout_freeze	turn_stall	lines
3001	1	max_turns_exceeded	0	0	0	0	1270
3002	1	max_turns_exceeded	0	0	0	0	1408
3003	1	max_turns_exceeded	0	0	0	0	1346
3004	1	max_turns_exceeded	0	0	0	0	1215
3005	1	max_turns_exceeded	0	0	0	0	1162
3006	1	max_turns_exceeded	0	0	0	0	1264
3007	1	max_turns_exceeded	0	0	0	0	1352
3008	1	max_turns_exceeded	0	0	0	0	1030
3009	1	max_turns_exceeded	0	0	0	0	1192
3010	1	max_turns_exceeded	0	0	0	0	1231
3011	1	max_turns_exceeded	0	0	0	0	1285
3012	1	max_turns_exceeded	0	0	0	0	1287
